n,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
 Valeur,1,1,2,3,5,8,13,21,34,55,89,144,233,377,610,987,1597,2584,4181,6765,10946,17711,28657,46368,75025,121393,196418,317811,514229,832040,1346269,2178309,3524578,5702887,9227465,14930352,24157817,39088169,63245986,102334155,165580141,267914296,433494437,701408733,1134903170,1836311903,2971215073,4807526976,7778742049,12586269025
 T,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000002,0.000002,0.000002,0.000002,0.000004,0.000005,0.000007,0.000011,0.000017,0.000027,0.000042,0.000069,0.000103,0.000247,0.000318,0.000616,0.000732,0.000862,0.001442,0.002527,0.004098,0.005997,0.009791,0.015895,0.024749,0.039305,0.061173,0.096231,0.140411,0.214525,0.377006,0.565045,0.891654,1.428387,2.318151,3.826646,6.061864,9.815287,17.833353,31.662567,63.234337,85.095329
